num_episode;id_acteur;nom_prenom_acteur;nom_personnage;statut
1;1;Gemma Jones ; Anne Staveley;Invité
1;2;Patrick Troughton ; George Jackson;Invité
1;3;James Laurenson ; Tony Richards;Invité
1;4;Norman Jones ; Chief Inspector Bell;Invité
1;5;Spencer Leigh ; Ned Murdoch;Invité
1;6;Annie Lambert ; Adele Richards;Invité
1;7;Richard Durden ; Alan Richards;Invité
1;8;Charlotte Mitchell ; Mrs Staveley;Invité
1;9;David Michaels ; Pete;Invité
1;10;Paul Dixey ; Tutor;Invité
1;11;Christopher Guinee ; Grimes;Invité
1;12;Richard Cubison ; Pharmacist;Invité
1;13;Souad Faress ; Hospital Doctor;Invité
1;14;Philip Voss ; Coroner;Invité
1;15;Adam Morris ; Constable Dixon (as Wayne Morris);Invité
1;16;Gary Webster ; Colin;Invité
1;17;Sally Cooper ; Receptionist;Invité
1;18;Rupert Holliday;Evans ;Invité
1;19;Charles Hodgson ; Jack Hornsby;Invité
1;20;Irene Sutcliffe ; Mrs Hornsby;Invité
1;21;Gary Powell ; Constable;Invité
1;22;Charlotte Stone ; Charlotte;Invité
2;23;Barbara Flynn ; Monica Height;Invité
2;24;Michael Gough ; Philip Ogleby;Invité
2;25;Clive Swift ; Dr Bartlett;Invité
2;26;Frederick Treves ; Dean of Lonsdale College;Invité
2;27;Anthony Smee ; Roope;Invité
2;28;Roger Lloyd Pack ; Donald Martin;Invité
2;29;Julie Neubert ; Mrs. Martin;Invité
2;30;Phil Nice ; Nicholas Quinn;Invité
2;31;Elspet Grey ; Mrs. Quinn;Invité
2;32;Arthur Cox ; Noakes;Invité
2;33;Philip Voss ; Coroner;Invité
2;34;Gabrielle Blunt ; Mrs. Evans;Invité
2;35;Angela Barlow ; Nurse;Invité
2;36;Denyse Alexander ; Cinema Manageress;Invité
2;37;Stefan Schwartz ; Richard Bartlett;Invité
2;38;Saul Reichlin ; Sheik of Al;Invité
2;39;Diana Blackburn ; Lip;Invité
2;40;Malcolm Mudie ; Mr. Parker;Invité
2;41;Hugh Evans ; Landlord;Invité
2;42;Kate O Connell ; Barmaid;Invité
3;43;Angela Morant ; Ruth Rawlinson;Invité
3;44;John Normington ; Lionel Pawlen;Invité
3;45;Maurice O Connell ; Harry Josephs;Invité
3;46;Judy Campbell ; Mrs. Rawlinson;Invité
3;47;Michael Hordern ; Doctor Starkie;Invité
3;48;Norman Jones ; Chief Superintendent Bell;Invité
3;49;James Griffiths ; Paul Morris;Invité
3;50;Chrissy Iddon ; Brenda Josephs;Invité
3;51;Karl Francis ; Taffy;Invité
3;52;Michael Goldie ; Jimmy;Invité
3;53;Michael Fenner ; Detective Constable Mitchell;Invité
3;54;Bev Willis ; Denman;Invité
3;55;Bill Moody ; Police Sergeant;Invité
3;56;Saul Jephcott ; Waterman;Invité
3;57;Stuart Saunders ; Church Warden;Invité
3;58;James Greene ; Defence Counsel;Invité
3;59;Robert Gary ; Prosecuting Counsel;Invité
3;60;Richardson Morgan ; Landlord (as Ric Morgan);Invité
3;61;Paul Ridley ; Husband;Invité
3;62;Maureen Bennett ; Wife;Invité
3;63;Andrew Reed ; Peter Morris;Invité
3;64;Norma Shebbeare ; Hotel Proprietor;Invité
3;65;Christopher Gray ; Policeman;Invité
3;66;Joanna Wake ; Nurse;Invité
3;67;Gina McKee ; Girl in Betting Shop;Invité
3;68;Malcolm Kaye ; Gambler;Invité
3;69;Salome Bull ; Choirboy;Invité
4;70;Simon Callow ; Theodore Kemp;Invité
4;71;Kenneth Cranham ; Cedric Downes;Invité
4;72;Roberta Taylor ; Sheila Williams;Invité
4;73;Robert Arden ; Eddie Poindexter;Invité
4;74;Christine Norden ; Laura Poindexter;Invité
4;75;Bill Reimbold ; Howard Brown;Invité
4;76;Helena Stevens ; Shirley Brown;Invité
4;77;John Bloomfield ; Phil Aldrich;Invité
4;78;Mildred Shay ; Janet Roscoe;Invité
4;79;Jane Bertish ; Marion Kemp;Invité
4;80;Christine Kavanagh ; Lucy Downes;Invité
4;81;Cherith Mellor ; Fiona Hall;Invité
4;82;Nicholas Bell ; Doctor Swain;Invité
4;83;Tim Faulkner ; Hotel Manager;Invité
4;84;Iain Ormsby;Knox  Duty Sergeant;Invité
4;85;Maureen Morris ; Nurse;Invité
4;86;Sara Coward ; Lynn;Invité
4;87;Ron Copsey ; Waiter;Invité
4;88;Teddie Thompson ; Waitress (as Teddy Thompson);Invité
5;89;Peter McEnery ; Donald Phillipson;Invité
5;90;Suzanne Bertish ; Cheryl Baines;Invité
5;91;Glyn Houston ; George Craven;Invité
5;92;Frances Tomelty ; Grace Craven;Invité
5;93;Fiona Mollison ; Sheila Phillipson;Invité
5;94;Philip Bretherton ; David Acum;Invité
5;95;Melissa Simmons ; Valerie Craven;Invité
5;96;Nicholas Pritchard ; John Maguire;Invité
5;97;Elizabeth Hurley ; Julia;Invité
5;98;Michele Winstanley ; Fiona (as MichÃ¨le Winstanley);Invité
5;99;Julia Sawalha ; Rachel;Invité
5;100;Auriol Goldingham ; Lesley;Invité
5;101;Venetia Barrett ; Mrs. Webb;Invité
5;102;Geoffrey Church ; PC Franks;Invité
5;103;Maggie Holland ; Martha;Invité
5;104;Liz Kettle ; Policewoman (as Elizabeth Kettle);Invité
5;105;Roger Booth ; Bartender;Invité
5;106;David Trevena ; Porter;Invité
5;107;Susanna Nicholas ; Receptionist;Invité
5;108;Amanda Dickinson ; Check out Girl;Invité
5;109;Clare Bennett ; Becky Phillipson;Invité
5;110;Charles Gilmore ; Charlie Phillipson;Invité
5;111;George Gilmore ; George Phillipson;Invité
6;112;Anna Calder;Marshall  Jane Robson;Invité
6;113;Robert Stephens ; Sir Wilfred Mulryne;Invité
6;114;Derek Fowlds ; Kurt Friedman, aka Michael Robson;Invité
6;115;Robert Lang ; Chief Superintendent Dewar;Invité
6;116;Avis Bunnage ; Mrs. Warbut;Invité
6;117;Amanda Burton ; Mirella Lunghi;Invité
6;118;Philip Middlemiss ; Graham Daniel;Invité
6;119;Eiji Kusuhara ; Yukio Li;Invité
6;120;Tim Barker ; Ralph Thomas;Invité
6;121;Llewellyn Rees ; Reverend Robson;Invité
6;122;Blue MacAskill ; Alex Robson;Invité
6;123;Ellis Van Maarseveen ; Heidi Vettinger;Invité
6;124;Ian McCurrach ; Swedish Student;Invité
6;125;Jack Ellis ; Sergeant;Invité
