id_personnage;nom_personnage;statut;id_acteur
1; Anne Staveley;Invité;1
2; George Jackson;Invité;1
3; Tony Richards;Invité;1
4; Chief Inspector Bell;Invité;1
5; Ned Murdoch;Invité;1
6; Adele Richards;Invité;1
7; Alan Richards;Invité;1
8; Mrs Staveley;Invité;1
9; Pete;Invité;1
10; Tutor;Invité;1
11; Grimes;Invité;1
12; Pharmacist;Invité;1
13; Hospital Doctor;Invité;1
14; Coroner;Invité;1
15; Constable Dixon (as Wayne Morris);Invité;1
16; Colin;Invité;1
17; Receptionist;Invité;1
18;Evans ;Invité;1
19; Jack Hornsby;Invité;1
20; Mrs Hornsby;Invité;1
21; Constable;Invité;1
22; Charlotte;Invité;1
23; Monica Height;Invité;1
24; Philip Ogleby;Invité;1
25; Dr Bartlett;Invité;1
26; Dean of Lonsdale College;Invité;1
27; Roope;Invité;1
28; Donald Martin;Invité;1
29; Mrs. Martin;Invité;1
30; Nicholas Quinn;Invité;1
31; Mrs. Quinn;Invité;1
32; Noakes;Invité;1
33; Coroner;Invité;1
34; Mrs. Evans;Invité;1
35; Nurse;Invité;1
36; Cinema Manageress;Invité;1
37; Richard Bartlett;Invité;1
38; Sheik of Al;Invité;1
39; Lip;Invité;1
40; Mr. Parker;Invité;1
41; Landlord;Invité;1
42; Barmaid;Invité;1
43; Ruth Rawlinson;Invité;1
44; Lionel Pawlen;Invité;1
45; Harry Josephs;Invité;1
46; Mrs. Rawlinson;Invité;1
47; Doctor Starkie;Invité;1
48; Chief Superintendent Bell;Invité;1
49; Paul Morris;Invité;1
50; Brenda Josephs;Invité;1
51; Taffy;Invité;1
52; Jimmy;Invité;1
53; Detective Constable Mitchell;Invité;1
54; Denman;Invité;1
55; Police Sergeant;Invité;1
56; Waterman;Invité;1
57; Church Warden;Invité;1
58; Defence Counsel;Invité;1
59; Prosecuting Counsel;Invité;1
60; Landlord (as Ric Morgan);Invité;1
61; Husband;Invité;1
62; Wife;Invité;1
63; Peter Morris;Invité;1
64; Hotel Proprietor;Invité;1
65; Policeman;Invité;1
66; Nurse;Invité;1
67; Girl in Betting Shop;Invité;1
68; Gambler;Invité;1
69; Choirboy;Invité;1
70; Theodore Kemp;Invité;1
71; Cedric Downes;Invité;1
72; Sheila Williams;Invité;1
